Time (s),Flow (L/min),Delivered Tidal Volume (mL),Lung Volume (mL),Lung Pressure (cm H2O),Pressure Premask (cm H2O)
0.000,0.000,0.000,2000.000,0.000,0.000
0.025,0.411,0.676,2000.676,0.166,0.166
0.050,4.484,1.451,2001.451,0.315,0.315
0.074,9.863,3.596,2003.596,0.805,0.805
0.099,12.639,7.569,2007.569,1.234,1.234
0.124,14.595,12.754,2012.754,1.568,1.568
0.149,16.857,18.917,2018.917,1.922,1.922
0.174,19.356,26.162,2026.162,2.323,2.323
0.198,21.940,34.450,2034.450,2.760,2.760
0.223,24.550,43.849,2043.849,3.227,3.227
0.248,27.171,54.986,2054.986,3.732,3.732
0.273,29.795,66.501,2066.501,4.244,4.244
0.298,32.382,79.549,2079.549,4.785,4.785
0.323,34.843,93.598,2093.598,5.337,5.337
0.347,37.300,109.257,2109.257,5.905,5.905
0.372,39.779,125.820,2125.820,6.490,6.490
0.397,42.244,143.048,2143.048,7.085,7.085
0.422,44.682,161.718,2161.718,7.699,7.699
0.447,47.086,180.822,2180.822,8.318,8.318
0.471,49.433,201.482,2201.482,8.959,8.959
0.496,51.811,223.051,2223.051,9.616,9.616
0.521,54.172,245.005,2245.005,10.278,10.278
0.546,56.480,268.186,2268.186,10.960,10.960
0.571,58.789,292.304,2292.304,11.657,11.657
0.595,58.122,317.153,2317.153,12.209,12.209
0.620,55.656,341.734,2341.734,12.527,12.527
0.645,53.035,365.319,2365.319,12.731,12.731
0.670,51.857,387.932,2387.932,13.010,13.010
0.695,49.337,409.747,2409.747,13.217,13.217
0.719,46.517,430.403,2430.403,13.353,13.353
0.744,43.696,449.418,2449.418,13.445,13.445
0.769,40.895,467.574,2467.574,13.517,13.517
0.794,38.099,485.548,2485.548,13.587,13.587
0.819,35.388,500.505,2500.505,13.610,13.610
0.844,32.677,515.463,2515.463,13.633,13.633
0.868,29.996,529.920,2529.920,13.649,13.649
0.893,27.411,542.452,2542.452,13.641,13.641
0.918,24.759,553.556,2553.556,13.607,13.607
0.943,22.089,564.098,2564.098,13.560,13.560
0.968,19.370,573.157,2573.157,13.479,13.479
0.992,16.690,581.425,2581.425,13.385,13.385
1.017,14.063,588.647,2588.647,13.273,13.273
1.042,11.565,594.261,2594.261,13.141,13.141
1.067,9.106,599.305,2599.305,13.002,13.002
1.092,6.678,603.239,2603.239,12.846,12.846
1.116,4.190,606.125,2606.125,12.668,12.668
1.141,1.842,608.010,2608.010,12.472,12.472
1.166,1.109,608.984,2608.984,12.345,12.345
1.191,0.917,609.559,2609.559,12.303,12.303
1.216,0.837,609.985,2609.985,12.290,12.290
1.240,-1.825,610.348,2610.348,12.263,12.263
1.265,-29.797,607.498,2607.498,10.504,10.504
1.290,-35.998,597.307,2597.307,9.057,9.057
1.315,-36.732,584.049,2584.049,8.429,8.429
1.340,-35.989,569.973,2569.973,8.088,8.088
1.365,-34.486,556.000,2556.000,7.895,7.895
1.389,-33.020,542.573,2542.573,7.751,7.751
1.414,-31.612,529.425,2529.425,7.617,7.617
1.439,-30.341,517.281,2517.281,7.495,7.495
1.464,-29.072,505.155,2505.155,7.372,7.372
1.489,-27.938,493.807,2493.807,7.254,7.254
1.513,-26.859,482.780,2482.780,7.137,7.137
1.538,-25.838,472.115,2472.115,7.022,7.022
1.563,-24.905,462.006,2462.006,6.908,6.908
1.588,-23.966,451.987,2451.987,6.795,6.795
1.613,-23.069,442.760,2442.760,6.693,6.693
1.637,-22.182,433.590,2433.590,6.592,6.592
1.662,-21.301,425.058,2425.058,6.503,6.503
1.687,-20.423,417.050,2417.050,6.423,6.423
1.712,-19.545,409.042,2409.042,6.343,6.343
1.737,-18.667,401.034,2401.034,6.264,6.264
1.761,-17.791,393.234,2393.234,6.188,6.188
1.786,-16.923,386.468,2386.468,6.133,6.133
1.811,-16.055,379.701,2379.701,6.077,6.077
1.836,-15.205,373.260,2373.260,6.027,6.027
1.861,-14.392,367.421,2367.421,5.986,5.986
1.886,-13.578,361.581,2361.581,5.946,5.946
1.910,-12.856,356.426,2356.426,5.910,5.910
1.935,-12.183,351.629,2351.629,5.878,5.878
1.960,-11.509,346.833,2346.833,5.846,5.846
1.985,-10.836,342.037,2342.037,5.814,5.814
2.010,-10.221,337.632,2337.632,5.784,5.784
2.034,-9.700,333.863,2333.863,5.758,5.758
2.059,-9.180,330.094,2330.094,5.732,5.732
2.084,-8.660,326.325,2326.325,5.706,5.706
2.109,-8.158,322.679,2322.679,5.681,5.681
2.134,-7.755,319.700,2319.700,5.660,5.660
2.158,-7.351,316.721,2316.721,5.638,5.638
2.183,-6.948,313.742,2313.742,5.617,5.617
2.208,-6.544,310.763,2310.763,5.596,5.596
2.233,-6.224,308.355,2308.355,5.578,5.578
2.258,-5.910,305.990,2305.990,5.561,5.561
2.283,-5.596,303.624,2303.624,5.543,5.543
2.307,-5.282,301.259,2301.259,5.525,5.525
